Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Augsburg,0.0,0.0,0.0,0.1,1.2,1.6000000000000003,2.500000000000001,3.2000000000000015,4.699999999999999,5.099999999999998,7.19999999999999,9.099999999999984,7.099999999999991,8.499999999999986,10.999999999999977,12.599999999999971,11.899999999999974,14.199999999999966
Bayern Munich,82.89999999999957,12.499999999999972,3.600000000000002,0.7999999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dortmund,5.899999999999995,31.800000000000182,28.600000000000136,20.700000000000024,6.499999999999993,3.700000000000002,1.3,0.7999999999999999,0.4,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Eintracht Frankfurt,0.1,2.500000000000001,6.999999999999991,12.299999999999972,19.80000000000001,14.599999999999964,11.899999999999974,8.599999999999985,6.199999999999994,5.299999999999997,2.700000000000001,3.3000000000000016,1.8000000000000005,1.6000000000000003,1.4000000000000001,0.6,0.2,0.1
Freiburg,0.0,0.0,0.7999999999999999,1.6000000000000003,8.399999999999986,9.499999999999982,11.899999999999974,8.799999999999985,9.89999999999998,9.699999999999982,7.499999999999989,7.29999999999999,5.099999999999998,6.999999999999991,4.699999999999999,3.800000000000002,2.0000000000000004,2.0000000000000004
Gladbach,0.0,0.1,0.7,2.500000000000001,4.000000000000002,6.299999999999994,9.89999999999998,8.599999999999985,8.399999999999986,8.799999999999985,9.299999999999983,8.999999999999984,8.699999999999985,7.099999999999991,4.899999999999999,4.699999999999999,4.200000000000001,2.800000000000001
Hamburger SV,0.0,0.0,0.1,0.30000000000000004,0.6,2.1000000000000005,2.2000000000000006,3.800000000000002,4.300000000000001,5.399999999999997,5.899999999999995,5.599999999999996,7.099999999999991,9.099999999999984,12.69999999999997,12.399999999999972,13.199999999999969,15.199999999999962
Heidenheim,0.0,0.0,0.1,0.1,1.2,1.9000000000000006,2.0000000000000004,4.4,6.299999999999994,6.399999999999993,6.299999999999994,7.999999999999988,9.399999999999983,9.299999999999983,10.599999999999978,10.19999999999998,11.999999999999973,11.799999999999974
Hoffenheim,0.0,0.1,0.1,0.8999999999999999,2.500000000000001,5.299999999999997,6.8999999999999915,6.799999999999992,6.799999999999992,8.499999999999986,9.799999999999981,7.099999999999991,9.699999999999982,8.699999999999985,7.19999999999999,7.599999999999989,6.699999999999992,5.299999999999997
Koln,0.0,0.0,0.0,0.2,0.2,1.0999999999999999,2.0000000000000004,1.2,2.600000000000001,2.800000000000001,4.799999999999999,5.799999999999995,7.699999999999989,7.39999999999999,12.69999999999997,14.099999999999966,17.59999999999998,19.80000000000001
Leverkusen,8.699999999999985,32.40000000000019,30.90000000000017,15.99999999999996,6.5999999999999925,3.4000000000000017,0.8999999999999999,0.7,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Mainz 05,0.0,0.0,0.5,1.8000000000000005,6.099999999999994,7.699999999999989,9.399999999999983,9.99999999999998,10.499999999999979,8.399999999999986,7.799999999999988,7.099999999999991,7.39999999999999,7.19999999999999,5.099999999999998,4.699999999999999,3.900000000000002,2.400000000000001
RB Leipzig,2.400000000000001,19.60000000000001,22.60000000000005,28.000000000000128,13.699999999999967,5.799999999999995,2.700000000000001,2.2000000000000006,1.3,0.6,0.4,0.30000000000000004,0.1,0.2,0.1,0.0,0.0,0.0
St Pauli,0.0,0.0,0.0,0.4,0.8999999999999999,1.5000000000000002,2.9000000000000012,5.1999999999999975,5.799999999999995,6.199999999999994,6.699999999999992,8.799999999999985,10.29999999999998,10.29999999999998,9.699999999999982,9.99999999999998,10.599999999999978,10.699999999999978
Stuttgart,0.0,0.8999999999999999,3.600000000000002,9.99999999999998,16.699999999999967,16.79999999999997,12.89999999999997,10.19999999999998,7.499999999999989,6.5999999999999925,4.999999999999998,2.0000000000000004,2.800000000000001,1.9000000000000006,1.0999999999999999,1.3,0.4,0.30000000000000004
Union Berlin,0.0,0.0,0.6,2.0000000000000004,5.799999999999995,7.19999999999999,10.499999999999979,11.099999999999977,9.89999999999998,10.19999999999998,7.699999999999989,8.099999999999987,6.999999999999991,6.399999999999993,5.299999999999997,3.700000000000002,3.1000000000000014,1.4000000000000001
Werder Bremen,0.0,0.0,0.0,0.1,0.8999999999999999,2.2000000000000006,2.700000000000001,4.000000000000002,5.799999999999995,5.699999999999996,8.399999999999986,9.89999999999998,9.99999999999998,8.699999999999985,8.999999999999984,10.19999999999998,10.599999999999978,11.799999999999974
Wolfsburg,0.0,0.1,0.7999999999999999,2.2000000000000006,4.699999999999999,9.299999999999983,7.39999999999999,10.399999999999979,9.399999999999983,10.19999999999998,10.399999999999979,8.499999999999986,5.799999999999995,6.399999999999993,4.5,4.100000000000001,3.600000000000002,2.2000000000000006
