team,position,games_played,wins,draws,losses,points,gf,ga,gd
Bayern Munich,1,34,21,7,6,70,89,45,44
Eintracht Frankfurt,2,34,20,8,6,68,69,37,32
Stuttgart,3,34,20,5,9,65,76,52,24
RB Leipzig,4,34,20,4,10,64,73,47,26
Leverkusen,5,34,17,7,10,58,78,54,24
Dortmund,6,34,14,9,11,51,70,56,14
Union Berlin,7,34,15,6,13,51,50,40,10
Freiburg,8,34,14,9,11,51,51,57,-6
Heidenheim,9,34,14,5,15,47,53,70,-17
Wolfsburg,10,34,12,8,14,44,57,58,-1
Koln,11,34,11,8,15,41,44,56,-12
Hoffenheim,12,34,11,7,16,40,58,72,-14
Gladbach,13,34,10,7,17,37,46,70,-24
Mainz 05,14,34,9,9,16,36,44,53,-9
Werder Bremen,15,34,9,9,16,36,52,73,-21
Augsburg,16,34,8,8,18,32,42,66,-24
Hamburger SV,17,34,8,7,19,31,40,66,-26
St Pauli,18,34,5,13,16,28,19,39,-20
