team,position,games_played,wins,draws,losses,points,gf,ga,gd
Bayern Munich,1,34,26,4,4,82,99,34,65
Dortmund,2,34,21,7,6,70,91,45,46
RB Leipzig,3,34,21,4,9,67,62,32,30
Eintracht Frankfurt,4,34,20,7,7,67,62,39,23
Leverkusen,5,34,19,4,11,61,68,43,25
Union Berlin,6,34,17,9,8,60,54,46,8
Stuttgart,7,34,15,7,12,52,55,53,2
Gladbach,8,34,13,8,13,47,64,62,2
Wolfsburg,9,34,11,7,16,40,46,61,-15
Werder Bremen,10,34,10,9,15,39,44,60,-16
Freiburg,11,34,9,12,13,39,46,67,-21
Hoffenheim,12,34,9,10,15,37,49,73,-24
Koln,13,34,7,14,13,35,39,57,-18
Mainz 05,14,34,7,11,16,32,37,49,-12
Augsburg,15,34,8,8,18,32,36,51,-15
Heidenheim,16,34,8,8,18,32,42,70,-28
St Pauli,17,34,6,10,18,28,20,38,-18
Hamburger SV,18,34,5,9,20,24,35,69,-34
